field,ra,dec,ebv
79,291.72414,-60.25,0.06866344809532166
80,304.13793,-60.25,0.04817228391766548
81,316.55172,-60.25,0.0771806612610817
82,328.96552,-60.25,0.04549797251820564
83,341.37931,-60.25,0.027418404817581177
84,353.7931,-60.25,0.021388785913586617
85,0.0,-53.05,0.024717332795262337
86,10.58824,-53.05,0.02044674940407276
87,21.17647,-53.05,0.024735359475016594
88,31.76471,-53.05,0.031734537333250046
89,42.35294,-53.05,0.03602278605103493
90,52.94118,-53.05,0.031702496111392975
91,63.52941,-53.05,0.020908022299408913
92,74.11765,-53.05,0.014712088741362095
93,84.70588,-53.05,0.07077493518590927
94,95.29412,-53.05,0.08137597143650055
95,105.88235,-53.05,0.17216412723064423
102,180.0,-53.05,0.23060891032218933
103,190.58824,-53.05,0.2662036120891571
111,275.29412,-53.05,0.15333983302116394
112,285.88235,-53.05,0.08014141768217087
113,296.47059,-53.05,0.05610673129558563
114,307.05882,-53.05,0.051001615822315216
115,317.64706,-53.05,0.040550775825977325
116,328.23529,-53.05,0.020774733275175095
117,338.82353,-53.05,0.019677812233567238
118,349.41176,-53.05,0.016809914261102676
119,0.0,-45.85,0.012015840038657188
120,9.47368,-45.85,0.014217184856534004
121,18.94737,-45.85,0.020031867548823357
122,28.42105,-45.85,0.0280461348593235
123,37.89474,-45.85,0.02051078900694847
124,47.36842,-45.85,0.02643158845603466
125,56.84211,-45.85,0.019065257161855698
126,66.31579,-45.85,0.023131344467401505
127,75.78947,-45.85,0.024551773443818092
128,85.26316,-45.85,0.06277219951152802
129,94.73684,-45.85,0.05468299239873886
130,104.21053,-45.85,0.1299753040075302
131,113.68421,-45.85,0.22526809573173523
135,151.57895,-45.85,0.2679433524608612
137,170.52632,-45.85,0.1877564936876297
138,180.0,-45.85,0.16378910839557648
139,189.47368,-45.85,0.19491854310035706
140,198.94737,-45.85,0.14325781166553497
141,208.42105,-45.85,0.1768198013305664
142,217.89474,-45.85,0.2797416150569916
148,274.73684,-45.85,0.1653902232646942
149,284.21053,-45.85,0.07447413355112076
150,293.68421,-45.85,0.08117345720529556
151,303.15789,-45.85,0.052890852093696594
152,312.63158,-45.85,0.050220929086208344
153,322.10526,-45.85,0.03214024752378464
154,331.57895,-45.85,0.01848505437374115
155,341.05263,-45.85,0.01522023230791092
156,350.52632,-45.85,0.00873516034334898
157,3.76926,-38.65,0.025935353711247444
158,12.25,-38.65,0.01648038811981678
159,20.73074,-38.65,0.02837231382727623
160,29.21148,-38.65,0.02357691340148449
161,37.69222,-38.65,0.028024306520819664
162,46.17296,-38.65,0.01977268047630787
163,54.6537,-38.65,0.01903604529798031
164,63.13444,-38.65,0.016111692413687706
165,71.61519,-38.65,0.0248134545981884
166,80.09593,-38.65,0.05390232428908348
167,88.57667,-38.65,0.05076940730214119
168,97.05741,-38.65,0.16607657074928284
169,105.53815,-38.65,0.199729323387146
173,139.842,-38.65,0.23522315919399261
174,148.57667,-38.65,0.21937702596187592
175,157.31133,-38.65,0.09455747902393341
176,166.046,-38.65,0.14373387396335602
177,174.78067,-38.65,0.14139403402805328
178,183.51533,-38.65,0.10703112930059433
179,192.25,-38.65,0.10076881945133209
180,200.98467,-38.65,0.09514207392930984
181,209.71933,-38.65,0.12369412183761597
182,218.454,-38.65,0.19667062163352966
183,227.18867,-38.65,0.14834296703338623
184,235.92333,-38.65,0.28632020950317383
189,278.96185,-38.65,0.17430128157138824
190,287.44259,-38.65,0.13186904788017273
191,295.92333,-38.65,0.12480264902114868
192,304.40407,-38.65,0.07380641251802444
193,312.88481,-38.65,0.05701928213238716
194,321.36556,-38.65,0.11128535121679306
195,329.8463,-38.65,0.0232609324157238
196,338.32704,-38.65,0.02383427694439888
197,346.80778,-38.65,0.016791656613349915
198,355.28852,-38.65,0.020204804837703705
199,0.62682,-31.45,0.017135024070739746
200,8.37561,-31.45,0.020268788561224937
201,16.12439,-31.45,0.022039102390408516
202,23.87318,-31.45,0.021287376061081886
203,31.62196,-31.45,0.023349827155470848
204,39.37075,-31.45,0.02079705521464348
205,47.11954,-31.45,0.01972672902047634
206,54.86832,-31.45,0.014886715449392796
207,62.61711,-31.45,0.022925568744540215
208,70.36589,-31.45,0.034457411617040634
209,78.11468,-31.45,0.017632314935326576
210,85.86346,-31.45,0.03431498259305954
211,93.61225,-31.45,0.05462973564863205
212,101.36104,-31.45,0.11132389307022095
213,109.10982,-31.45,0.16275157034397125
216,132.6525,-31.45,0.29356300830841064
217,140.59883,-31.45,0.2192683070898056
218,148.54517,-31.45,0.1232166439294815
219,156.4915,-31.45,0.09604126960039139
220,164.43783,-31.45,0.11542811244726181
221,172.38417,-31.45,0.07582307606935501
222,180.3305,-31.45,0.08297079801559448
223,188.27683,-31.45,0.09736701101064682
224,196.22317,-31.45,0.11163893342018127
225,204.1695,-31.45,0.06096580624580383
226,212.11583,-31.45,0.082117959856987
227,220.06217,-31.45,0.12390010058879852
228,228.0085,-31.45,0.22302202880382538
229,235.95483,-31.45,0.14694038033485413
235,283.13896,-31.45,0.2491181194782257
236,290.88775,-31.45,0.10968366265296936
237,298.63654,-31.45,0.14080336689949036
238,306.38532,-31.45,0.08023076504468918
239,314.13411,-31.45,0.12593859434127808
240,321.88289,-31.45,0.06836242973804474
241,329.63168,-31.45,0.02818833291530609
242,337.38046,-31.45,0.015624336898326874
243,345.12925,-31.45,0.025540543720126152
244,352.87804,-31.45,0.021474942564964294
245,1.16039,-24.25,0.024680113419890404
246,8.55346,-24.25,0.02250560186803341
247,15.94654,-24.25,0.023368196561932564
248,23.33961,-24.25,0.017667029052972794
249,30.73268,-24.25,0.019757216796278954
250,38.12575,-24.25,0.03427116572856903
251,45.51882,-24.25,0.021513711661100388
252,52.91189,-24.25,0.03145185485482216
253,60.30496,-24.25,0.040912918746471405
254,67.69804,-24.25,0.050338439643383026
255,75.09111,-24.25,0.05082495138049126
256,82.48418,-24.25,0.048183489590883255
257,89.87725,-24.25,0.04856814444065094
258,97.27032,-24.25,0.0708521381020546
